ID,PROVINCE,DISTRICT,UNIT_TYPE,UNIT_NAME,DISTRICT_C,SHAPE_LENG,SHAPE_AREA,OBJECTID_1,OBJECTID,AREA,PERIMETER,LCODE_GEN,SQKM,REC_NUM_1,Elev_min,Elev_max,Slope_med,Relief_med,linkfield,Landform,Parent_Mat,Dominant_S,CODE,NAME,Shape_Leng_2,Shape_Le_1,Shape_Area_2
2005,1,PANCHTHAR,Gaunpalika,Miklajung,2,84657.09524810000,166606464.61300000548,836,836,0.00172900000,0.75339000000,"12",19.01800000000,836,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,76474.91010110000,0.73997624867,0.00173240013
2005,1,PANCHTHAR,Gaunpalika,Miklajung,2,84657.09524810000,166606464.61300000548,843,843,0.05121300000,7.14196500000,"12",563.84100000000,843,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,731447.47899199999,7.02289760699,0.05124340448
2005,1,PANCHTHAR,Gaunpalika,Miklajung,2,84657.09524810000,166606464.61300000548,847,847,0.00560300000,1.79789500000,"11",61.66600000000,847,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",185381.92843599999,1.76653651596,0.00559737510
2005,1,PANCHTHAR,Gaunpalika,Miklajung,2,84657.09524810000,166606464.61300000548,848,848,0.00093000000,0.65215100000,"12",10.23200000000,848,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,66311.76152620000,0.64171906808,0.00093863909
2005,1,PANCHTHAR,Gaunpalika,Miklajung,2,84657.09524810000,166606464.61300000548,854,854,0.00175500000,0.63565700000,"12",19.31300000000,854,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,65087.15728570000,0.62278091064,0.00177148241
2005,1,PANCHTHAR,Gaunpalika,Miklajung,2,84657.09524810000,166606464.61300000548,868,868,0.00292900000,0.93996500000,"11",32.25200000000,868,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",95859.59813119999,0.92282345885,0.00292219506
2006,1,PANCHTHAR,Nagarpalika,Phidim,2,71962.55349380002,192495103.75600001216,510,510,0.02618500000,17.72250400000,"9",287.36000000000,510,126,2334,25.40000000000,230,9,SV,UF2,CMg,UF2,Fluvial non calcareous,1826155.30468000006,17.46903102040,0.02608447635
2006,1,PANCHTHAR,Nagarpalika,Phidim,2,71962.55349380002,192495103.75600001216,559,559,0.13048600000,9.44094200000,"15",1428.98200000000,559,934,5649,56.90000000000,533,15,TM,MA2,CMu,MA2,"Gneiss, migmatite",965042.71843000001,9.25121981063,0.13135952368
2006,1,PANCHTHAR,Nagarpalika,Phidim,2,71962.55349380002,192495103.75600001216,700,700,0.04661300000,6.85440700000,"12",511.29900000000,700,114,3459,47.60000000000,415,12,TM,MA1,CMe,MA1,Quartzite,701248.23501299997,6.71358581795,0.04666430386
2006,1,PANCHTHAR,Nagarpalika,Phidim,2,71962.55349380002,192495103.75600001216,724,724,0.01885100000,2.58577200000,"11",206.87800000000,724,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",267585.61836399999,2.55020592406,0.01880903208
2006,1,PANCHTHAR,Nagarpalika,Phidim,2,71962.55349380002,192495103.75600001216,756,756,0.00998300000,1.83908400000,"11",109.57000000000,756,142,3224,39.30000000000,362,11,TM,MB1,CMx,MB1,"slate, phyllite",187009.68591000000,1.78491293674,0.00996604617
